"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NME1",5.69633828109735e-15,1.39552852625766,0.28,0.088,9.86719717051684e-11
"HEATR1",5.89366856575732e-15,0.681344305420118,0.63,0.348,1.02090126896048e-10
"PNPT1",5.90069052159919e-15,0.74363219917582,0.477,0.211,1.02211761215141e-10
"MAFK",6.10174706171277e-15,0.863009957597092,0.433,0.186,1.05694462602989e-10
"SNX6",6.15775583490193e-15,0.660729356203372,0.639,0.413,1.06664646572171e-10
"DHX37",6.18989463841826e-15,0.525183087018333,0.378,0.155,1.07221354926681e-10
"ADSS2",6.24645091994684e-15,0.583584934003759,0.574,0.321,1.08201022835319e-10
"RHOT1",6.26367635574952e-15,0.818200741678389,0.515,0.232,1.08499401834293e-10
"PLEKHA8",6.32613508970114e-15,0.771860937819919,0.551,0.248,1.09581312023803e-10
"ARID3A",6.33244352778959e-15,1.71029102001828,0.276,0.072,1.09690586788371e-10
"KLF5",6.53414509710692e-15,1.04743521660932,0.296,0.108,1.13184461372086e-10
"FYCO1",6.65656779423284e-15,0.908809282711499,0.381,0.15,1.15305067331701e-10
"SEC61A2",6.67352346567266e-15,0.915015102162078,0.322,0.108,1.15598773472382e-10
"CUL4B",6.72595517313309e-15,0.677670279838932,0.519,0.296,1.16506995509011e-10
"TPST1",6.74492220726278e-15,0.554981137832889,0.807,0.549,1.16835542474206e-10
"IRAK1",6.94467780868944e-15,0.796836304553212,0.386,0.167,1.20295709002118e-10
"NQO2",7.02974588688015e-15,0.768624202952392,0.288,0.106,1.21769258252538e-10
"ACTR10",7.06016922705864e-15,0.637443747920279,0.359,0.144,1.2229625135111e-10
"NNMT",7.10239508371006e-15,0.908144579952265,0.762,0.525,1.23027687640026e-10
"FAT1",7.43334461595097e-15,-0.510932951862366,0.915,0.92,1.28760395437503e-10
"CILK1",7.54182947922685e-15,0.999734428817718,0.414,0.145,1.30639570239168e-10
"QRICH1",7.61987719438898e-15,0.597585883870155,0.458,0.205,1.31991512761206e-10
"EPB41L4A",7.84963627335334e-15,-0.548334727282869,0.575,0.766,1.35971399527027e-10
"NT5DC1",7.88491117758201e-15,0.768800478568341,0.635,0.385,1.36582431418075e-10
"PPP1R18",7.91778152457324e-15,0.994609238824267,0.329,0.116,1.37151811568658e-10
"GOLT1B",8.05637543963956e-15,0.593213803755359,0.5,0.244,1.39552535365436e-10
"SATB2",8.05875929573055e-15,0.843616884164546,0.601,0.309,1.39593828520645e-10
"LMF1",8.26805823634234e-15,0.683480440630087,0.395,0.171,1.43219304769922e-10
